#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164057.339;20180524-164058.000;33.647084;-117.842162;3;36.8;35.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164057.841;20180524-164059.000;33.647084;-117.842162;3;36.8;54.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164058.342;20180524-164059.000;33.647084;-117.842162;3;36.8;53.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164058.843;20180524-164100.000;33.647084;-117.842162;3;48.4;78.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164059.343;20180524-164100.000;33.647084;-117.842162;3;48.4;84;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164059.844;20180524-164101.000;33.647084;-117.842162;3;68;59.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164100.346;20180524-164101.000;33.647084;-117.842162;3;68;60.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164100.845;20180524-164102.000;33.647084;-117.842162;3;88.3;65.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164101.346;20180524-164102.000;33.647084;-117.842162;3;88.3;74;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164101.848;20180524-164103.000;33.647084;-117.842162;3;107.1;84.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
